"id(h)","type(r)","id(t)"
"2045","FRAME_RELATED","1524"
"1639","FRAME_RELATED","1524"
"1827","FRAME_BASIC","1524"
"1823","FRAME_ADVANCE","1524"
"1822","FRAME_ADVANCE","1524"
"167","FRAME_BASIC","1524"
"181","FRAME_BASIC","1524"
"169","FRAME_BASIC","1524"
"175","FRAME_BASIC","1524"
"174","FRAME_BASIC","1524"
"173","FRAME_BASIC","1524"
"168","FRAME_BASIC","1524"
"179","FRAME_BASIC","1524"
"176","FRAME_ADVANCE","1524"
"195","FRAME_ADVANCE","1524"
"728","FRAME_ADVANCE","1524"
"178","FRAME_ADVANCE","1524"
"171","FRAME_ADVANCE","1524"
"170","FRAME_ADVANCE","1524"
"177","FRAME_ADVANCE","1524"
"180","FRAME_ADVANCE","1524"
"192","FRAME_ADVANCE","1524"
"172","FRAME_ADVANCE","1524"
"190","FRAME_ADVANCE","1524"
"1895","FRAME_ADVANCE","1524"
"143","FRAME_BASIC","1525"
"156","FRAME_BASIC","1525"
"731","FRAME_BASIC","1525"
"723","FRAME_BASIC","1525"
"164","FRAME_BASIC","1525"
"179","FRAME_BASIC","1525"
"147","FRAME_BASIC","1525"
"150","FRAME_BASIC","1525"
"115","FRAME_BASIC","1525"
"1094","FRAME_BASIC","1525"
"121","FRAME_BASIC","1525"
"638","FRAME_BASIC","1525"
"982","FRAME_BASIC","1525"
"640","FRAME_BASIC","1525"
"304","FRAME_BASIC","1525"
"1826","FRAME_BASIC","1525"
"1896","FRAME_ADVANCE","1525"
"1897","FRAME_ADVANCE","1525"
"1898","FRAME_ADVANCE","1525"
"1901","FRAME_ADVANCE","1525"
"1905","FRAME_ADVANCE","1525"
"1913","FRAME_ADVANCE","1525"
"0","FRAME_ADVANCE","1525"
"120","FRAME_ADVANCE","1525"
"18","FRAME_ADVANCE","1525"
"119","FRAME_ADVANCE","1525"
"1515","FRAME_ADVANCE","1525"
"112","FRAME_ADVANCE","1525"
"647","FRAME_ADVANCE","1525"
"114","FRAME_ADVANCE","1525"
"109","FRAME_ADVANCE","1525"
"118","FRAME_ADVANCE","1525"
"1523","FRAME_ADVANCE","1525"
"107","FRAME_ADVANCE","1525"
"644","FRAME_ADVANCE","1525"
"1520","FRAME_ADVANCE","1525"
"730","FRAME_ADVANCE","1525"
"117","FRAME_ADVANCE","1525"
"113","FRAME_ADVANCE","1525"
"108","FRAME_ADVANCE","1525"
"392","FRAME_ADVANCE","1525"
"736","FRAME_ADVANCE","1525"
"390","FRAME_ADVANCE","1525"
"728","FRAME_ADVANCE","1525"
"111","FRAME_ADVANCE","1525"
"1522","FRAME_ADVANCE","1525"
"110","FRAME_ADVANCE","1525"
"1521","FRAME_ADVANCE","1525"
"116","FRAME_ADVANCE","1525"
"1923","FRAME_BASIC","1526"
"1917","FRAME_BASIC","1526"
"1914","FRAME_BASIC","1526"
"613","FRAME_ADVANCE","1526"
"1929","FRAME_ADVANCE","1526"
"1928","FRAME_ADVANCE","1526"
"1927","FRAME_ADVANCE","1526"
"1924","FRAME_ADVANCE","1526"
"1915","FRAME_ADVANCE","1526"
"1831","FRAME_ADVANCE","1527"
"1830","FRAME_ADVANCE","1527"
"615","FRAME_BASIC","1527"
"575","FRAME_ADVANCE","1527"
"585","FRAME_ADVANCE","1527"
